concept_id;level;level_name;label_fr;label_en;definition_fr;definition_en;source_biblio;parent_id;path_ids;path_labels;in_site;in_zthes;source_authority;scheme_url;n_children;n_synonyms;n_related;has_definition
341;3;sous_groupe;ENERGIE;ENERGY;;;;34;3 > 34 > 341;Les Environnements de l'entreprise > Environnement naturel > ENERGIE;1;1;zthes;https://aciege.org/Schm/Fra/FRA_341.html;31;0;0;0
342;3;sous_groupe;PROTECTION DE L'ENVIRONNEMENT;ENVIRONMENTAL PROTECTION;;;;34;3 > 34 > 342;Les Environnements de l'entreprise > Environnement naturel > PROTECTION DE L'ENVIRONNEMENT;1;1;zthes;https://aciege.org/Schm/Fra/FRA_342.html;28;0;0;0
351;3;sous_groupe;ENVIRONNEMENT SOCIAL;SOCIAL ENVIRONMENT;;;;35;3 > 35 > 351;Les Environnements de l'entreprise > Société > ENVIRONNEMENT SOCIAL;1;1;zthes;https://aciege.org/Schm/Fra/FRA_351.html;42;0;0;0
352;3;sous_groupe;DEMOGRAPHIE;DEMOGRAPHY;;;;35;3 > 35 > 352;Les Environnements de l'entreprise > Société > DEMOGRAPHIE;1;1;zthes;https://aciege.org/Schm/Fra/FRA_352.html;35;0;0;0
361;3;sous_groupe;ENVIRONNEMENT CULTUREL ET ARTISTIQUE;CULTURAL AND ARTISTIC ENVIRONMENT;;;;36;3 > 36 > 361;Les Environnements de l'entreprise > Culture > ENVIRONNEMENT CULTUREL ET ARTISTIQUE;1;1;zthes;https://aciege.org/Schm/Fra/FRA_361.html;31;0;0;0
362;3;sous_groupe;ENVIRONNEMENT SCIENTIFIQUE;SCIENTIFIC ENVIRONMENT;;;;36;3 > 36 > 362;Les Environnements de l'entreprise > Culture > ENVIRONNEMENT SCIENTIFIQUE;1;1;zthes;https://aciege.org/Schm/Fra/FRA_362.html;27;0;0;0
410;3;sous_groupe;LANGUE VIVANTE;LIVING LANGUAGE;;;;41;4 > 41 > 410;Listes outils > Listes > LANGUE VIVANTE;1;1;zthes;https://aciege.org/CS/Fra/FRA_410.html;35;0;0;0
411;3;sous_groupe;MOT OUTIL;AUXILIARY DESCRIPTOR;;;;41;4 > 41 > 411;Listes outils > Listes > MOT OUTIL;1;1;zthes;https://aciege.org/CS/Fra/FRA_411.html;77;0;0;0
412;3;sous_groupe;TYPE DE DOCUMENT;TYPE OF DOCUMENT;;;;41;4 > 41 > 412;Listes outils > Listes > TYPE DE DOCUMENT;1;1;zthes;https://aciege.org/CS/Fra/FRA_412.html;48;0;0;0
413;3;sous_groupe;ORGANISATION INTERNATIONALE;INTERNATIONAL ORGANIZATION;;;;41;4 > 41 > 413;Listes outils > Listes > ORGANISATION INTERNATIONALE;1;1;zthes;https://aciege.org/CS/Fra/FRA_413.html;46;0;0;0
414;3;sous_groupe;ORGANISME FRANCAIS;FRENCH ORGANIZATION;;;;41;4 > 41 > 414;Listes outils > Listes > ORGANISME FRANCAIS;1;1;zthes;https://aciege.org/CS/Fra/FRA_414.html;34;0;0;0
415;3;sous_groupe;ZONE GEOPOLITIQUE;GEOPOLITICAL ZONE;;;;41;4 > 41 > 415;Listes outils > Listes > ZONE GEOPOLITIQUE;1;1;zthes;https://aciege.org/CS/Fra/FRA_415.html;33;0;0;0
416;3;sous_groupe;ACCORD INTERNATIONAL;INTERNATIONAL AGREEMENT;;;;41;4 > 41 > 416;Listes outils > Listes > ACCORD INTERNATIONAL;1;1;zthes;https://aciege.org/CS/Fra/FRA_416.html;17;0;0;0
420;3;sous_groupe;AGROALIMENTAIRE SECTEUR;FOOD-PROCESSING INDUSTRY SECTOR;;;;42;4 > 42 > 420;Listes outils > Secteurs d'activité > AGROALIMENTAIRE SECTEUR;1;1;zthes;https://aciege.org/Schm/Fra/FRA_420.html;39;0;0;0
421;3;sous_groupe;EXPLOITATION DU MILIEU NATUREL SECTEUR;EXPLOITATION OF THE NATURAL ENVIRONMENT SECTOR;;;;42;4 > 42 > 421;Listes outils > Secteurs d'activité > EXPLOITATION DU MILIEU NATUREL SECTEUR;1;1;zthes;https://aciege.org/Schm/Fra/FRA_421.html;23;0;0;0
422;3;sous_groupe;TRAVAIL DES METAUX SECTEUR;METAL WORKING SECTOR;;;;42;4 > 42 > 422;Listes outils > Secteurs d'activité > TRAVAIL DES METAUX SECTEUR;1;1;zthes;https://aciege.org/Schm/Fra/FRA_422.html;36;0;0;0
423;3;sous_groupe;ELECTRICITE ET ELECTRONIQUE SECTEUR;ELECTRICITY AND ELECTRONIC SECTOR;;;;42;4 > 42 > 423;Listes outils > Secteurs d'activité > ELECTRICITE ET ELECTRONIQUE SECTEUR;1;1;zthes;https://aciege.org/Schm/Fra/FRA_423.html;14;0;0;0
424;3;sous_groupe;CHIMIE SECTEUR;CHEMISTRY SECTOR;;;;42;4 > 42 > 424;Listes outils > Secteurs d'activité > CHIMIE SECTEUR;1;1;zthes;https://aciege.org/Schm/Fra/FRA_424.html;26;0;0;0
425;3;sous_groupe;INDUSTRIE DE TRANSFORMATION SECTEUR;PROCESSING INDUSTRY SECTOR;;;;42;4 > 42 > 425;Listes outils > Secteurs d'activité > INDUSTRIE DE TRANSFORMATION SECTEUR;1;1;zthes;https://aciege.org/Schm/Fra/FRA_425.html;33;0;0;0
426;3;sous_groupe;INDUSTRIES DIVERSES SECTEUR;VARIOUS INDUSTRIES SECTOR;;;;42;4 > 42 > 426;Listes outils > Secteurs d'activité > INDUSTRIES DIVERSES SECTEUR;1;1;zthes;https://aciege.org/Schm/Fra/FRA_426.html;31;0;0;0
427;3;sous_groupe;BATIMENT ET TRAVAUX PUBLICS SECTEUR;CONSTRUCTION AND PUBLIC WORKS SECTOR;;;;42;4 > 42 > 427;Listes outils > Secteurs d'activité > BATIMENT ET TRAVAUX PUBLICS SECTEUR;1;1;zthes;https://aciege.org/Schm/Fra/FRA_427.html;27;0;0;0
428;3;sous_groupe;AUXILIAIRE DE L'ENTREPRISE SECTEUR;BUSINESS AUXILIARY SECTOR;;;;42;4 > 42 > 428;Listes outils > Secteurs d'activité > AUXILIAIRE DE L'ENTREPRISE SECTEUR;1;1;zthes;https://aciege.org/Schm/Fra/FRA_428.html;38;0;0;0
429;3;sous_groupe;SERVICE SECTEUR;SERVICE SECTOR;;;;42;4 > 42 > 429;Listes outils > Secteurs d'activité > SERVICE SECTEUR;1;1;zthes;https://aciege.org/Schm/Fra/FRA_429.html;35;0;0;0
001_00;4;terme;REGION FRANCAISE;FRENCH REGION;"Une région française est à la fois une division administrative du territoire de la France, une collectivité territoriale décentralisée dotée de la personnalité juridique et d'une liberté d'administration, une circonscription électorale et une circonscription administrative des services déconcentrés de l'État.
Créées à partir de 1956, au nombre de vingt-sept en 2015, les régions françaises sont au nombre de dix-huit depuis le 1er janvier 2016 : douze régions de France métropolitaine, auxquelles s'ajoutent la Corse, qui n'a pas la dénomination de région mais en exerce les compétences, et cinq régions d'outre-mer(le département de Mayotte qui exerce également les compétences d'une région (collectivité unique), les collectivités uniques de Guyane et de Martinique, ainsi que la Guadeloupe et La Réunion). Ces cinq régions ultramarines bénéficient toutes du statut de région ultrapériphérique de l'Union européenne.
Source : Wikipedia, lencyclopédie libre. Disponible sur : https://fr.wikipedia.org/wiki/Région_française (consulté le 31.10.2017)";;;001;0 > 00 > 001 > 001_00;Géographie > France > REGION FRANCAISE > REGION FRANCAISE;1;1;zthes;;0;0;0;1
