concept_id;label_fr;synonym;lang;relation;source
224_21;TELEPHONIE;Telephone;en;altLabel;zthes_UF
224_21;TELEPHONIE;Voice messaging;en;altLabel;zthes_UF
224_24;TELECONFERENCE;Audioconférence;fr;altLabel;site_employe_pour
224_24;TELECONFERENCE;Visioconférence;fr;altLabel;site_employe_pour
224_24;TELECONFERENCE;Audioconference;en;altLabel;zthes_UF
224_24;TELECONFERENCE;Videoconference;en;altLabel;zthes_UF
224_31;TELECOPIE;Fax;fr;altLabel;site_employe_pour
224_31;TELECOPIE;Fax;en;altLabel;zthes_UF
224_44;SERVICE DE TELECOMMUNICATION;Téléservice;fr;altLabel;site_employe_pour
224_44;SERVICE DE TELECOMMUNICATION;Teleservice;en;altLabel;zthes_UF
224_46;ECONOMIE NUMERIQUE;Plateforme numérique;fr;altLabel;zthes_UF
224_46;ECONOMIE NUMERIQUE;Digital platform;en;altLabel;zthes_UF
224_55;TIC;NTIC;fr;altLabel;site_employe_pour
224_55;TIC;Technologie de l'information et de la communication;fr;altLabel;site_employe_pour
224_55;TIC;Information and communication technology;en;altLabel;zthes_UF
224_55;TIC;New information and communication technology;en;altLabel;zthes_UF
224_72;INTRANET;Réseau social de l’entreprise;fr;altLabel;site_employe_pour
224_72;INTRANET;Réseau social de lentreprise;fr;altLabel;zthes_UF
224_72;INTRANET;Enterprise social network;en;altLabel;zthes_UF
224_73;INTERNET;Web;fr;altLabel;site_employe_pour
224_73;INTERNET;World Wide Web;en;altLabel;zthes_UF
224_74;RESEAU DE TELECOMMUNICATION;RNIS;fr;altLabel;site_employe_pour
224_74;RESEAU DE TELECOMMUNICATION;Réseau local;fr;altLabel;site_employe_pour
224_74;RESEAU DE TELECOMMUNICATION;Réseau téléphonique commuté;fr;altLabel;site_employe_pour
224_74;RESEAU DE TELECOMMUNICATION;Transpac;fr;altLabel;site_employe_pour
224_74;RESEAU DE TELECOMMUNICATION;Local network;en;altLabel;zthes_UF
224_74;RESEAU DE TELECOMMUNICATION;Public switched telephone network;en;altLabel;zthes_UF
224_74;RESEAU DE TELECOMMUNICATION;ISDN;en;altLabel;zthes_UF
224_74;RESEAU DE TELECOMMUNICATION;Transpac;en;altLabel;zthes_UF
224_76;EDITION ELECTRONIQUE;Livre électronique;fr;altLabel;site_employe_pour
224_76;EDITION ELECTRONIQUE;PAO;fr;altLabel;site_employe_pour
224_76;EDITION ELECTRONIQUE;Publication assistée par ordinateur;fr;altLabel;site_employe_pour
224_76;EDITION ELECTRONIQUE;Publication électronique;fr;altLabel;site_employe_pour
224_76;EDITION ELECTRONIQUE;Electronic publication;en;altLabel;zthes_UF
224_76;EDITION ELECTRONIQUE;DTP;en;altLabel;zthes_UF
224_76;EDITION ELECTRONIQUE;Desktop publishing;en;altLabel;zthes_UF
224_76;EDITION ELECTRONIQUE;E-book;en;altLabel;zthes_UF
224_82;SITE INTERNET;Référencement Web;fr;altLabel;site_employe_pour
224_82;SITE INTERNET;Site web;fr;altLabel;site_employe_pour
224_82;SITE INTERNET;Web site;en;altLabel;zthes_UF
224_82;SITE INTERNET;SEO;en;altLabel;zthes_UF
224_83;INTERNET DES OBJETS;Objet connecté;fr;altLabel;site_employe_pour
224_83;INTERNET DES OBJETS;Objet intelligent;fr;altLabel;site_employe_pour
224_83;INTERNET DES OBJETS;Connected object;en;altLabel;zthes_UF
224_83;INTERNET DES OBJETS;Intelligent object;en;altLabel;zthes_UF
224_85;EDI;Echange de Données Informatisé;fr;altLabel;site_employe_pour
224_85;EDI;Electronic data interchange;en;altLabel;zthes_UF
224_86;GED;Archivage électronique;fr;altLabel;site_employe_pour
224_86;GED;Gestion électronique de document;fr;altLabel;site_employe_pour
224_86;GED;Electronic archiving;en;altLabel;zthes_UF
224_86;GED;Electronic document management;en;altLabel;zthes_UF
224_87;GROUPWARE;Collecticiel;fr;altLabel;site_employe_pour
224_87;GROUPWARE;Outil collaboratif;fr;altLabel;site_employe_pour
224_87;GROUPWARE;Teamware;en;altLabel;zthes_UF
224_87;GROUPWARE;Collaborative tools;en;altLabel;zthes_UF
