categorie;theme;groupe_numerologie;groupe_titre;sous_groupe_numerologie;sous_groupe;lien_sous_groupe_schema;lien_sous_groupe_liste
4;Listes outils;42;Secteurs d'activité;427;BATIMENT ET TRAVAUX PUBLICS SECTEUR;https://aciege.org/Schm/Fra/FRA_427.html;https://aciege.org/CS/Fra/FRA_427.html
4;Listes outils;42;Secteurs d'activité;428;AUXILIAIRE DE L'ENTREPRISE SECTEUR;https://aciege.org/Schm/Fra/FRA_428.html;https://aciege.org/CS/Fra/FRA_428.html
4;Listes outils;42;Secteurs d'activité;429;SERVICE SECTEUR;https://aciege.org/Schm/Fra/FRA_429.html;https://aciege.org/CS/Fra/FRA_429.html
0;Géographie;00;France;001;REGION FRANCAISE;;https://aciege.org/CS/Fra/FRA_001.html
0;Géographie;00;France;002;DOM TOM;;https://aciege.org/CS/Fra/FRA_002.html
0;Géographie;01;Europe;011;EUROPE;;https://aciege.org/CS/Fra/FRA_011.html
0;Géographie;02;Amérique;021;AMERIQUE;;https://aciege.org/CS/Fra/FRA_021.html
0;Géographie;03;Afrique;031;AFRIQUE;;https://aciege.org/CS/Fra/FRA_031.html
0;Géographie;04;Asie;041;ASIE;;https://aciege.org/CS/Fra/FRA_041.html
0;Géographie;05;Océanie;051;OCEANIE;;https://aciege.org/CS/Fra/FRA_051.html
0;Géographie;06;Antarctique;061;CERCLE POLAIRE;;https://aciege.org/CS/Fra/FRA_061.html
