sous_groupe;descripteur_code;descripteur;relation;cible_code;cible_libelle;cible_url
414;414_22;INRA;terme_generique;414_00;ORGANISME FRANCAIS;https://aciege.org/Dct/Fra/Fra_414_00.html
414;414_22;INRA;employe_pour;In_3072;Institut National de la Recherche Agronomique;https://aciege.org/Dct/Fra/In_3072.html
414;414_23;INSEE;terme_generique;414_00;ORGANISME FRANCAIS;https://aciege.org/Dct/Fra/Fra_414_00.html
414;414_23;INSEE;employe_pour;In_3074;Institut National de la Statistique et des Etudes Economiques;https://aciege.org/Dct/Fra/In_3074.html
414;414_24;INSERM;terme_generique;414_00;ORGANISME FRANCAIS;https://aciege.org/Dct/Fra/Fra_414_00.html
414;414_24;INSERM;employe_pour;In_3073;Institut National de la Santé et de la Recherche Médicale;https://aciege.org/Dct/Fra/In_3073.html
414;414_10;NATEXIS;terme_generique;414_00;ORGANISME FRANCAIS;https://aciege.org/Dct/Fra/Fra_414_00.html
414;414_10;NATEXIS;employe_pour;BF_2504;BFCE;https://aciege.org/Dct/Fra/BF_2504.html
414;414_10;NATEXIS;employe_pour;Ba_2511;Banque Française du Commerce Extérieur;https://aciege.org/Dct/Fra/Ba_2511.html
414;414_15;ORANGE;terme_generique;414_00;ORGANISME FRANCAIS;https://aciege.org/Dct/Fra/Fra_414_00.html
414;414_15;ORANGE;employe_pour;CN_2550;CNET;https://aciege.org/Dct/Fra/CN_2550.html
414;414_15;ORANGE;employe_pour;Ce_2590;Centre National d'Etudes des Télécommunications;https://aciege.org/Dct/Fra/Ce_2590.html
414;414_00;ORGANISME FRANCAIS;terme_specifique;414_33;ADEME;https://aciege.org/Dct/Fra/Fra_414_33.html
414;414_00;ORGANISME FRANCAIS;terme_specifique;414_34;AFD;https://aciege.org/Dct/Fra/Fra_414_34.html
414;414_00;ORGANISME FRANCAIS;terme_specifique;414_01;AFNOR;https://aciege.org/Dct/Fra/Fra_414_01.html
414;414_00;ORGANISME FRANCAIS;terme_specifique;414_03;AFPA;https://aciege.org/Dct/Fra/Fra_414_03.html
414;414_00;ORGANISME FRANCAIS;terme_specifique;414_32;AMF;https://aciege.org/Dct/Fra/Fra_414_32.html
414;414_00;ORGANISME FRANCAIS;terme_specifique;414_06;ANRT;https://aciege.org/Dct/Fra/Fra_414_06.html
414;414_00;ORGANISME FRANCAIS;terme_specifique;414_04;APCE;https://aciege.org/Dct/Fra/Fra_414_04.html
414;414_00;ORGANISME FRANCAIS;terme_specifique;414_08;APEC;https://aciege.org/Dct/Fra/Fra_414_08.html
414;414_00;ORGANISME FRANCAIS;terme_specifique;414_09;ARIST;https://aciege.org/Dct/Fra/Fra_414_09.html
414;414_00;ORGANISME FRANCAIS;terme_specifique;414_11;BIPE;https://aciege.org/Dct/Fra/Fra_414_11.html
414;414_00;ORGANISME FRANCAIS;terme_specifique;414_07;BPI FRANCE FINANCEMENT;https://aciege.org/Dct/Fra/Fra_414_07.html
414;414_00;ORGANISME FRANCAIS;terme_specifique;414_14;BUSINESS FRANCE;https://aciege.org/Dct/Fra/Fra_414_14.html
414;414_00;ORGANISME FRANCAIS;terme_specifique;414_25;CDIA;https://aciege.org/Dct/Fra/Fra_414_25.html
414;414_00;ORGANISME FRANCAIS;terme_specifique;414_12;CECOD;https://aciege.org/Dct/Fra/Fra_414_12.html
414;414_00;ORGANISME FRANCAIS;terme_specifique;414_13;CEREQ;https://aciege.org/Dct/Fra/Fra_414_13.html
414;414_00;ORGANISME FRANCAIS;terme_specifique;414_35;CERTU;https://aciege.org/Dct/Fra/Fra_414_35.html
414;414_00;ORGANISME FRANCAIS;terme_specifique;414_26;CGSP;https://aciege.org/Dct/Fra/Fra_414_26.html
414;414_00;ORGANISME FRANCAIS;terme_specifique;414_31;CHAMBRE DE COMMERCE ET D'INDUSTRIE;https://aciege.org/Dct/Fra/Fra_414_31.html
414;414_00;ORGANISME FRANCAIS;terme_specifique;414_16;CNRS;https://aciege.org/Dct/Fra/Fra_414_16.html
414;414_00;ORGANISME FRANCAIS;terme_specifique;414_18;COFACE;https://aciege.org/Dct/Fra/Fra_414_18.html
